opportunity_id,sales_agent,product,account,deal_stage,close_date
1,Moses Frase,GTX Plus Basic,Cancity,Won,2017-03-01
2,Darcel Schlecht,GTXPro,Isdom,Won,2017-03-11
3,Darcel Schlecht,MG Special,Cancity,Won,2017-03-07
4,Moses Frase,GTX Basic,Codehow,Won,2017-03-09
5,Zane Levy,GTX Basic,Hatfan,Won,2017-03-02
6,Anna Snelling,MG Special,Ron-tech,Won,2017-03-01
7,Vicki Laflamme,MG Special,J-Texon,Won,2017-03-02
8,Markita Hansen,GTX Basic,Cheers,Won,2017-03-07
9,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,2017-03-03
10,James Ascencio,MG Advanced,UNKNOWN,Engaging,
11,Anna Snelling,MG Special,Bioholding,Won,2017-03-10
12,Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,2017-03-18
13,James Ascencio,GTX Plus Pro,Sunnamplex,Won,2017-03-10
14,Maureen Marcano,GTX Plus Pro,Sonron,Won,2017-03-06
15,Hayden Neloms,MG Advanced,Finjob,Won,2017-03-11
16,Rosalina Dieter,MG Special,Sonron,Lost,2017-03-03
17,Rosalina Dieter,MG Advanced,Scotfind,Won,2017-03-06
18,Versie Hillebrand,MG Special,Treequote,Won,2017-03-05
19,Daniell Hammack,GTXPro,Xx-zobam,Lost,2017-03-09
20,Elease Gluck,MG Special,Rantouch,Won,2017-03-08
21,James Ascencio,GTX Plus Pro,Fasehatice,Lost,2017-03-17
22,Moses Frase,MG Special,Ron-tech,Won,2017-03-18
23,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,2017-03-11
24,Darcel Schlecht,GTX Basic,Warephase,Won,2017-03-26
25,Kami Bicknell,GTX Basic,Zoomit,Won,2017-03-23
26,Maureen Marcano,MG Advanced,Ganjaflex,Engaging,
27,Versie Hillebrand,MG Special,Bioholding,Won,2017-03-12
28,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,2017-03-11
29,Elease Gluck,MG Special,Cheers,Won,2017-03-05
